"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"76572","MOSSA","","0.00","0.00","2025-07-29","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Sports Equipment","Sports Equipment","null","US","Welcome to the MOSSA Partner Program



The MOSSA team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!



We’ve created general offers","https://ui.awin.com/images/upload/merchant/profile/76572.png","https://www.mossaondemand.net"
"76578","Rushmore Energy","","0.00","0.00","2025-08-12","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","null","US","Rushmore Energy Bio - Test","https://ui.awin.com/images/upload/merchant/profile/76578.png","https://www.rushmoreenergy.com/capitalone"
"76612","Silvering","3.71814","100.00","0.19","2025-07-23","green","none","82.0704","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","37","US","Silvering Affiliate Program","https://ui.awin.com/images/upload/merchant/profile/76612.png","https://www.SilveringBeauty.com"
"76730","Hong Kong Gleeride Information Technology Limited","0.994157","50.00","0.12","2025-07-23","green","none","56.1729","no","yes","0","0","0","0","30","Retail & Shopping","Sports Equipment","Sports Equipment","30","US","
","https://ui.awin.com/images/upload/merchant/profile/76730.png","https://gleeride.com"
"76792","Organic Loven","4.51282","100.00","0.14","2025-08-18","green","none","87.5265","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","21","US","BECAUSE PLEASURE SHOULD BE ORGANIC. Promote Pleasure, Wellness, and Education...Naturally!

Organic Loven is the premier online destination for eco-friendly, body-safe intimate products and sex-positive education.
We offer over 1,500 curated","https://ui.awin.com/images/upload/merchant/profile/76792.png","https://www.organicloven.com"
"76796","VSPOT","","0.00","0.00","2025-07-24","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","Our affiliate program is for VSPOT services. We are offering a 20% commission with an average sale of $3000. Our services include women's intimate health treatments that are non-invasion (no surgery), no pain and no downtime. We are one of the o","https://ui.awin.com/images/upload/merchant/profile/76796.png","https://www.vspotmd.com"
"76800","Paragon Group USA","5.12521","90.00","0.63","2025-07-17","green","none","73.0212","no","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","39","US","Welcome to the Paragon Group USA Partner Program
The Paragon Group USA team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!
W","https://ui.awin.com/images/upload/merchant/profile/76800.png","https://paragon-outdoor.com"
"72559","Hightly Health","","0.00","0.00","2025-08-18","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","Hello! 

Welcome to Hightly & Fewer Regrets' affiliate program! 
We offer 20% commission for content affiliates and 10% commission for shopping affiliates. Our cookie duration is 30 days and our AOV is $35. 

A little bit about our products","https://ui.awin.com/images/upload/merchant/profile/72559.png","https://oxygenmax.com"
"72805","Nghia Nipper Corp.","5.92968","69.23","0.40","2025-07-23","green","none","55.7897","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","58","US","At NGHIA, we believe that professional nail aesthetician should enjoy expanded opportunities to increase their income while having effortless access to top-tier nail tools. Our program is meticulously designed to champion you and the nail commun","https://ui.awin.com/images/upload/merchant/profile/72805.png","https://nghianippersusa.com"
"72955","Lucimed","4.16667","100.00","1.30","2025-07-23","green","none","55.2963","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","Luminette, Light therapy made easy.
The inventors took a simple observation as their starting point: light therapy boxes are effective but inconvenient. They are sta","https://ui.awin.com/images/upload/merchant/profile/72955.png","https://myluminette.com"
